City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Bengkulu,ID,-3.8004,102.2655,77.34,91,82,3.67,broken clouds
191,Arcata,US,40.8665,-124.0828,71.67,73,0,8.05,clear sky
192,Perdoes,BR,-21.0908,-45.0914,58.39,94,40,2.17,scattered clouds
193,Acapulco,MX,16.8634,-99.8901,85.82,70,40,12.66,scattered clouds
194,Mingaora,PK,34.7758,72.3625,74.08,31,96,8.43,overcast clouds
195,Chadiza,ZM,-14.0678,32.4392,54.03,79,0,4.88,clear sky
196,San Andres,CO,12.5847,-81.7006,82.42,83,75,6.91,broken clouds
197,Sangin,AF,32.0728,64.8359,69.58,24,0,4.76,clear sky
198,Benghazi,LY,32.1167,20.0667,67.66,53,0,4.25,clear sky
199,Punta Alta,AR,-38.8759,-62.0736,52.0,79,72,20.96,broken clouds
200,Pisco,PE,-13.7,-76.2167,65.01,88,6,4.61,mist
201,Solnechnyy,RU,50.7214,136.6319,48.9,56,97,3.94,overcast clouds
202,Moissala,TD,8.3404,17.7663,75.65,76,100,1.68,overcast clouds
203,Sedkyrkeshch,RU,61.75,50.9167,42.46,100,20,2.24,fog
204,Cabedelo,BR,-6.9811,-34.8339,77.67,86,98,7.63,overcast clouds
205,Srednekolymsk,RU,67.45,153.6833,32.97,97,100,13.33,overcast clouds
206,San Vicente,AR,-26.6167,-54.1333,52.84,97,63,4.68,broken clouds
207,Tucurui,BR,-3.7661,-49.6725,75.87,94,100,2.19,overcast clouds
208,Rock Springs,US,41.5875,-109.2029,75.24,18,0,11.5,clear sky
209,Canala,NC,-21.5333,165.95,76.82,68,97,9.64,overcast clouds
210,Nikolskoye,RU,59.7035,30.7861,46.87,89,100,7.63,overcast clouds
211,Atasu,KZ,48.6814,71.6433,59.85,52,100,7.18,overcast clouds
212,Valparaiso,CL,-33.0393,-71.6273,55.47,87,100,4.61,mist
213,Kara-Tyube,RU,44.6336,45.4369,63.23,68,100,8.41,overcast clouds
214,Noumea,NC,-22.2763,166.4572,80.58,99,35,12.03,scattered clouds
215,Sitka,US,57.0531,-135.33,55.29,44,0,13.8,clear sky
216,Bafq,IR,31.6128,55.4107,70.59,14,0,5.44,clear sky
217,Araouane,ML,18.9048,-3.5265,84.22,9,0,7.11,clear sky
218,Abu Dhabi,AE,24.4667,54.3667,82.51,69,0,6.91,clear sky
219,Pindi Bhattian,PK,31.8978,73.273,89.94,9,60,1.21,broken clouds
220,Poum,NC,-20.2333,164.0167,78.31,73,79,19.73,broken clouds
221,Tefe,BR,-3.3542,-64.7114,74.95,98,100,1.61,heavy intensity rain
222,Tomatlan,MX,19.9333,-105.25,80.67,49,16,5.64,few clouds
223,Severo-Kurilsk,RU,50.6789,156.125,36.64,98,100,14.32,light rain
224,Guerrero Negro,MX,27.9769,-114.0611,68.16,62,70,15.37,broken clouds
225,Huarmey,PE,-10.0681,-78.1522,65.32,81,81,8.75,broken clouds
226,Izhma,RU,65.0083,53.9113,41.2,89,100,7.02,overcast clouds
227,Bluffton,US,32.2371,-80.8604,76.95,86,0,6.91,clear sky
228,Hasaki,JP,35.7333,140.8333,57.6,92,100,16.78,moderate rain
229,Novorzhev,RU,57.0294,29.3338,37.56,85,10,8.55,clear sky
230,Henties Bay,NA,-22.116,14.2845,63.61,60,5,3.96,clear sky
231,Moundsville,US,39.9203,-80.7431,80.44,92,74,4.16,broken clouds
232,Zarubino,RU,42.63,131.0922,56.05,57,65,6.82,broken clouds
233,Hami,CN,42.8,93.45,69.8,6,98,11.79,overcast clouds
234,Abbeville,FR,50.1,1.8333,63.5,87,100,15.88,overcast clouds
235,New Norfolk,AU,-42.7826,147.0587,52.66,49,78,11.65,broken clouds
236,Padang,ID,-0.9492,100.3543,75.25,86,21,2.44,few clouds
237,Guiyang,CN,26.5833,106.7167,54.09,87,100,6.71,overcast clouds
238,Vanimo,PG,-2.6741,141.3028,84.4,67,92,5.39,overcast clouds
239,Marquette,US,46.5333,-87.6335,62.04,70,74,5.1,broken clouds
240,Lorengau,PG,-2.0226,147.2712,84.6,62,100,4.43,overcast clouds
241,Voyvozh,RU,62.892,54.9635,43.92,97,100,4.14,light rain
242,Pevek,RU,69.7008,170.3133,27.97,79,98,3.96,overcast clouds
243,Lata,PT,40.1629,-8.3327,59.92,91,100,4.34,overcast clouds
244,Albion,US,42.2431,-84.753,69.98,42,40,4.61,scattered clouds
245,Ambilobe,MG,-13.2,49.05,68.04,87,6,2.95,clear sky
246,Sorland,NO,67.667,12.6934,39.06,74,100,22.39,overcast clouds
247,Alyangula,AU,-13.8483,136.4192,82.33,48,0,5.53,clear sky
248,Mesto Albrechtice,CZ,50.1629,17.5748,54.54,82,4,2.26,clear sky
249,Ulladulla,AU,-35.35,150.4667,66.78,48,0,8.3,clear sky
250,Moyale,KE,3.5167,39.0584,62.76,93,100,3.87,overcast clouds
251,Christchurch,NZ,-43.5333,172.6333,56.95,94,100,11.5,overcast clouds
252,Rabo De Peixe,PT,37.8,-25.5833,64.27,90,75,31.07,broken clouds
253,Koraput,IN,18.8167,82.7167,77.77,64,98,4.38,overcast clouds
254,Taltal,CL,-25.4,-70.4833,59.76,79,100,3.87,overcast clouds
255,Mao,ES,39.8885,4.2658,63.16,88,0,4.61,clear sky
256,Olavarria,AR,-36.8927,-60.3225,50.02,90,100,18.07,overcast clouds
257,Brae,GB,60.3964,-1.353,48.38,90,99,8.39,overcast clouds
258,Zhovtneve,UA,50.6637,24.2492,47.35,82,40,3.69,scattered clouds
259,Aquiraz,BR,-3.9014,-38.3911,80.69,89,100,8.21,overcast clouds
260,Hagenow,DE,53.4333,11.1833,49.37,91,58,7.16,broken clouds
261,Pishin,PK,30.5803,66.9961,63.66,30,0,3.36,clear sky
262,Dudinka,RU,69.4058,86.1778,34.97,97,100,3.38,overcast clouds
263,Magadan,RU,59.5667,150.8,40.53,95,100,21.65,overcast clouds
264,Airai,TL,-8.9266,125.4092,70.63,63,1,2.28,clear sky
265,Amuntai,ID,-2.4177,115.2494,82.87,75,97,1.1,overcast clouds
266,Iqaluit,CA,63.7506,-68.5145,26.33,80,100,12.66,overcast clouds
267,San Quintin,MX,30.4833,-115.95,65.44,74,0,13.02,clear sky
268,Mirabad,AF,30.4362,61.8383,71.47,21,0,14.14,clear sky
269,Ketchikan,US,55.3422,-131.6461,48.67,87,100,8.05,light rain
270,Mount Isa,AU,-20.7333,139.5,76.77,44,0,12.66,clear sky
271,Balsas,BR,-7.5325,-46.0356,79.29,60,100,4.45,light rain
